code,name,industryCode,latestPrice,marketCapYi,pe,pb
688008,澜起科技,sw_dianzi,203.25,2499.06,96.994248,11.900508
688009,中国通号,sw_jixieshebei,5.07,494.03,14.72511,1.121237
688012,中微公司,sw_dianzi,317.74,3043.45,111.527464,12.519691
688027,国盾量子,sw_tongxin,406.17,417.79,6250.250018,12.950253
688036,传音控股,sw_dianzi,57.83,665.73,23.853527,3.134011
688041,海光信息,sw_dianzi,275.35,6400.06,234.77077,27.237359
688047,龙芯中科,sw_dianzi,109.72,439.98,,18.343096
688065,凯赛生物,sw_jichuhuagong,45.84,330.64,56.089338,1.850105
688072,拓荆科技,sw_dianzi,604.5,1757.15,106.86609,24.245915
688082,盛美上海,sw_dianzi,257.0,1240.27,98.914507,9.091143
688099,晶晨股份,sw_dianzi,96.05,406.6,47.387562,5.397175
688111,金山办公,sw_jisuanji,274.45,1273.48,35.093586,8.417108
688120,华海清科,sw_dianzi,228.11,1132.07,103.139117,14.662478
688122,西部超导,sw_guofangjungong,53.65,348.55,48.876574,4.857985
688126,沪硅产业,sw_dianzi,23.82,787.26,,4.676821
688169,石头科技,sw_jiayongdianqi,109.14,283.27,19.962492,1.98185
688183,生益电子,sw_dianzi,102.79,860.96,50.123301,14.044064
688187,时代电气,sw_jixieshebei,49.9,575.08,16.161664,1.53941
688188,柏楚电子,sw_jisuanji,105.49,427.82,36.455774,6.694459
688213,思特威,sw_dianzi,89.91,361.71,34.562827,6.625165
688220,翱捷科技,sw_dianzi,92.7,387.76,,7.127494
688223,晶科能源,sw_dianlishebei,4.55,467.26,,1.874973
688249,晶合集成,sw_dianzi,36.62,794.23,131.474395,3.714891
688256,寒武纪,sw_dianzi,1078.21,6774.32,249.332914,52.631137
688271,联影医疗,sw_yiyaoshengwu,114.42,943.0,49.68166,4.293809
688297,中无人机,sw_guofangjungong,41.22,278.24,314.055441,4.860659
688303,大全能源,sw_dianlishebei,19.26,410.71,,1.076063
688347,华虹宏力,sw_dianzi,236.95,2522.24,834.506232,9.099928
688361,中科飞测,sw_dianzi,317.98,1119.45,19809.810616,22.06927
688375,国博电子,sw_guofangjungong,78.01,464.95,103.127422,7.188298
688396,华润微,sw_dianzi,54.15,719.23,79.268474,3.1071
688469,芯联集成,sw_dianzi,7.95,666.42,,5.138463
688472,阿特斯,sw_dianlishebei,10.51,382.89,25.733366,1.619957
688498,源杰科技,sw_dianzi,1315.0,1637.18,459.822807,64.845737
688506,百利天恒,sw_yiyaoshengwu,286.85,1184.33,,20.9849
688521,芯原股份,sw_dianzi,207.09,1089.12,,34.608131
688525,佰维存储,sw_dianzi,217.53,1025.8,25.972834,12.05108
688538,和辉光电,sw_dianzi,2.44,336.95,,4.437991
688568,中科星图,sw_jisuanji,36.37,293.9,,8.082545
688578,艾力斯,sw_yiyaoshengwu,108.62,488.79,20.242687,6.312015
688599,天合光能,sw_dianlishebei,14.29,334.75,,1.640405
688608,恒玄科技,sw_dianzi,115.03,272.49,55.325549,3.810964
688617,惠泰医疗,sw_yiyaoshengwu,216.01,305.72,35.264599,10.296656
688702,盛科通信,sw_dianzi,338.0,1385.8,,62.092184
688728,格科微,sw_dianzi,14.96,389.05,375.347057,4.942787
688777,中控技术,sw_jixieshebei,99.9,790.4,199.560799,7.877566
688795,摩尔线程,sw_dianzi,576.63,2710.32,,23.52811
688802,沐曦股份,sw_dianzi,696.04,2784.86,,21.260872
688981,中芯国际,sw_dianzi,121.1,6485.17,205.470108,6.920365
689009,九号公司,sw_qiche,42.66,313.91,20.852881,4.239943
